tool	url	doi
schicexplorer	https://github.com/joachimwolff/scHiCExplorer	--
goenrichment	https://github.com/DanFaria/GOEnrichment	--
nonpareil	http://enve-omics.ce.gatech.edu/nonpareil/	--
graph_embed	https://github.com/fabriziocosta/GraphEmbed	--
rust-ncbitaxonomy	https://docs.rs/crate/ncbitaxonomy/1.0.3/source/	--
ncbi-acc-download	https://github.com/kblin/ncbi-acc-download/	--
chira	https://github.com/pavanvidem/chira/	--
biotradis	https://github.com/sanger-pathogens/Bio-Tradis	--
fermi2	https://github.com/lh3/fermi2/	--
bctools	https://github.com/dmaticzka/bctools	--
tbvcfreport	http://github.com/COMBAT-TB/tbvcfreport	--
pizzly	https://github.com/pmelsted/pizzly	--
crispr_studio	https://github.com/moineaulab/CRISPRStudio	--
pipelign	https://github.com/asmmhossain/pipelign/	--
snp-dists	https://github.com/tseemann/snp-dists	--
nudup	https://github.com/tecangenomics/nudup	--
prestor	https://bitbucket.org/javh/prototype-prestor	--
socru	https://github.com/quadram-institute-bioscience/socru	--
qfilt	https://github.com/veg/qfilt	--
structure	https://web.stanford.edu/group/pritchardlab/structure.html	--
umi_tools	https://github.com/CGATOxford/UMI-tools/	--
perl-xml-xpath	https://metacpan.org/pod/XML::XPath	--
structureharvester	https://github.com/dentearl/structureHarvester/	--
valet	https://github.com/marbl/VALET	--
ucsc-twobittofa	http://hgdownload.cse.ucsc.edu/admin/exe/macOSX.x86_64/twoBitToFa	--
medaka	https://github.com/nanoporetech/medaka	--
datamash	http://ftpmirror.gnu.org/datamash/	--
scikit-bio	https://github.com/biocore/scikit-bio	--
jq	https://github.com/stedolan/jq/	--
humann2	https://github.com/biobakery/humann	--
mummer4	https://github.com/mummer4/mummer	--
perl	https://www.perl.org/	--
migmap	https://github.com/mikessh/migmap	--
ococo	https://github.com/karel-brinda/ococo/	--
enasearch	https://github.com/bebatut/enasearch	--
mykrobe	https://github.com/Mykrobe-tools/mykrobe	--
bax2bam	https://github.com/PacificBiosciences/bax2bam	--
filtlong	https://github.com/rrwick/Filtlong	--
msaboot	https://github.com/phac-nml/msaboot	--
goslimmer	https://github.com/DanFaria/GOSlimmer	--
python-hivclustering	https://github.com/veg/hivclustering	--
zerone	https://github.com/nanakiksc/zerone	--
perl-onto-perl	http://metacpan.org/pod/ONTO-PERL	--
r-data.table	https://cran.r-project.org/web/packages/data.table/	--
r-reshape2	https://github.com/hadley/reshape	--
berokka	https://github.com/tseemann/berokka	--
vcf2maf	https://github.com/mskcc/vcf2maf	--
fastani	https://github.com/ParBLiSS/FastANI	--
cpat	http://rna-cpat.sourceforge.net/	--
biopet-scatterregions	https://github.com/biopet/scatterregions	--
vg	https://github.com/vgteam/vg	--
gawk	http://ftpmirror.gnu.org/gawk/	--
export2graphlan	https://github.com/segatalab/export2graphlan	--
r-exomedepth	https://cran.r-project.org/web/packages/ExomeDepth/index.html	--
isoseq3	https://github.com/PacificBiosciences/pbbioconda	--
ucsc-wigtobigwig	http://hgdownload.cse.ucsc.edu/admin/exe/macOSX.x86_64/wigToBigWig	--
collect-columns	https://github.com/biowdl/collect-columns	--
r-vegan	https://cran.r-project.org/web/packages/vegan/index.html	--
tn93	https://github.com/veg/tn93	--
seqkit	https://github.com/shenwei356/seqkit/	--
faqcs	https://github.com/LANL-Bioinformatics/FaQCs	--
vardict-java	https://github.com/AstraZeneca-NGS/VarDictJava	--
fgbio	https://github.com/fulcrumgenomics/fgbio	--
odgi	https://github.com/vgteam/odgi	--
seqwish	https://github.com/ekg/seqwish	--
fastq-screen	https://github.com/StevenWingett/FastQ-Screen	--
pbccs	https://github.com/PacificBiosciences/pbbioconda	--
chunked-scatter	https://github.com/biowdl/chunked-scatter	--
curl	https://github.com/curl/curl	--
lima	https://github.com/PacificBiosciences/pbbioconda	--
spectra-cluster-cli	https://github.com/spectra-cluster/spectra-cluster-cli	--
clever-toolkit	https://bitbucket.org/tobiasmarschall/clever-toolkit/	--
rxdock	https://github.com/rxdock/rxdock	--
flye	https://github.com/fenderglass/Flye	--
kcalign	https://github.com/davebx/kc-align	--
survivor	https://github.com/fritzsedlazeck/SURVIVOR	--
rtg-tools	https://github.com/RealTimeGenomics/rtg-tools	--
imctools	https://github.com/BodenmillerGroup/imctools	--
singularity	https://github.com/hpcng/singularity	--
cgpbigwig	https://github.com/cancerit/cgpBigWig	--
cnv_facets	https://github.com/dariober/cnv_facets	--
2pg_cartesian	https://github.com/rodrigofaccioli/2pg_cartesian/	--
entrez-direct	ftp://ftp.ncbi.nlm.nih.gov/entrez/entrezdirect/	--
snippy	https://github.com/tseemann/snippy	--
scanpy-scripts	https://github.com/ebi-gene-expression-group/scanpy-scripts	--
ucsc-genepredtogtf	http://hgdownload.cse.ucsc.edu/admin/exe/macOSX.x86_64/genePredToGtf	--
agat	https://github.com/NBISweden/AGAT	--
nanovar	https://github.com/cytham/nanovar	--
mzml2isa	https://github.com/ISA-tools/mzml2isa	--
smoove	https://github.com/brentp/smoove	--
nmrpro	https://github.com/ahmohamed/nmrpro	--
pyani	https://github.com/widdowquinn/pyani	--
tobias	https://github.com/loosolab/TOBIAS/	--
chromosight	https://github.com/koszullab/chromosight	--
scelvis	https://github.com/bihealth/scelvis	--
rdock	http://rdock.sourceforge.net/	--
snakemake-minimal	https://github.com/snakemake/snakemake/	--
ucsc-gtftogenepred	http://hgdownload.cse.ucsc.edu/admin/exe/macOSX.x86_64/gtfToGenePred	--
tpmcalculator	https://github.com/ncbi/TPMCalculator	--
tidehunter	https://github.com/yangao07/TideHunter	--
soapec	http://soap.genomics.org.cn/soapdenovo.html	--
metilene	http://www.bioinf.uni-leipzig.de/Software/metilene/	--
circexplorer2	https://github.com/YangLab/CIRCexplorer2	--
artic	https://github.com/artic-network/fieldbioinformatics	--
illumina-interop	https://github.com/Illumina/interop	--
adpred	https://github.com/FredHutch/adpred	--
ipyrad	http://github.com/dereneaton/ipyrad	--
macs2	http://github.com/taoliu/MACS/	--
bam-readcount	https://github.com/genome/bam-readcount	--
dropletutils-scripts	https://github.com/ebi-gene-expression-group/dropletutils-scripts	--
fwdpy11	http://pypi.python.org/pypi/fwdpy11	--
genome_updater	https://github.com/pirovc/genome_updater	--
convert_zero_one_based	https://github.com/griffithlab/convert_zero_one_based.git	--
crispector	https://github.com/YakhiniGroup/crispector	--
metawrap	https://github.com/bxlab/metaWRAP	--
wtdbg	https://github.com/ruanjue/wtdbg2	--
picard-slim	https://github.com/broadinstitute/picard	--
r-loomr	https://github.com/mojaveazure/loomR	--
primedrpa	https://github.com/MatthewHiggins2017/bioconda-PrimedRPA/	--
mgltools	https://ccsb.scripps.edu/mgltools/	--
breseq	https://github.com/barricklab/breseq	--
bioconductor-nugohs1a520180probe	http://www.bioconductor.org/packages//2.12/data/annotation/html/nugohs1a520180probe.html	--
nanocompore	https://github.com/tleonardi/nanocompore	--
cthreepo	https://github.com/vkkodali/cthreepo	--
gvcf2coverage	https://github.com/varda/varda2_preprocessing	--
varda2-client	https://github.com/varda/varda2-client	--
vcf2variants	https://github.com/varda/varda2_preprocessing	--
biobb_io	https://github.com/bioexcel/biobb_io	--
pyfastx	https://github.com/lmdu/pyfastx	--
scxa-plots	https://github.com/ebi-gene-expression-group/scxa-plots	--
perl-sanger-cgp-vcf	https://github.com/cancerit/cgpVcf	--
crimson	https://github.com/bow/crimson	--
hlaprofiler	https://github.com/ExpressionAnalysis/HLAProfiler	--
seroba	https://github.com/sanger-pathogens/seroba	--
fastq-anonymous	https://github.com/wdecoster/fastq-anonymous	--
perl-module-loaded	http://metacpan.org/pod/Module::Loaded	--
assembly-scan	https://github.com/rpetit3/assembly-scan	--
graphaligner	https://github.com/maickrau/GraphAligner	--
prophane	https://gitlab.com/s.fuchs/prophane/	--
perl-moosex-getopt	https://github.com/moose/MooseX-Getopt	--
perl-cpan-meta-validator	http://metacpan.org/pod/CPAN::Meta::Validator	--
perl-text-wrap	http://metacpan.org/pod/Text::Wrap	--
biskit	https://github.com/graik/biskit	--
pneumocat	https://github.com/phe-bioinformatics/pneumocat	--
r-bcbiobase	https://github.com/hbc/bcbioBase/	--
advntr	https://github.com/mehrdadbakhtiari/adVNTR	--
perl-file-readbackwards	http://metacpan.org/pod/File::ReadBackwards	--
perl-test-fork	http://metacpan.org/pod/Test::Fork	--
dammet	https://gitlab.com/KHanghoj/DamMet	--
compare-reads	https://github.com/mvdbeek/pysam-compare-reads	--
shapeshifter-cli	https://github.com/srp33/ShapeShifter-CLI	--
halla	http://huttenhower.sph.harvard.edu/halla	--
perl-rest-client	http://metacpan.org/pod/REST::Client	--
gnomic	https://github.com/biosustain/gnomic	--
datma	https://github.com/andvides/DATMA	--
age-metasv	https://github.com/marghoob/AGE/tree/simple-parseable-output	--
ucsc-coltransform	http://hgdownload.cse.ucsc.edu/admin/exe/	--
scala	https://github.com/scala/scala	--
perl-role-tiny-with	http://metacpan.org/pod/Role::Tiny::With	--
ribodiff	http://public.bmi.inf.ethz.ch/user/zhongy/RiboDiff/index.html	--
ribocode	https://github.com/xryanglab/RiboCode	--
xyalign	https://github.com/WilsonSayresLab/XYalign	--
sts-smctc	https://github.com/matsengrp/smctc	--
pfam_scan	http://ftp.ebi.ac.uk/pub/databases/Pfam/Tools/	--
metacherchant	https://github.com/ctlab/metacherchant	--
r-perfmeas	https://CRAN.R-project.org/package=PerfMeas	--
perl-xml-libxml	https://bitbucket.org/shlomif/perl-xml-libxml	--
perl-import-into	http://metacpan.org/pod/Import::Into	--
truvari	https://github.com/spiralgenetics/truvari	--
libstatgen	https://genome.sph.umich.edu/wiki/C++_Library:_libStatGen	--
bioconda-utils	http://bioconda.github.io/build-system.html	--
cramtools	http://www.ebi.ac.uk/ena/software/cram-toolkit	--
perl-threaded	http://www.perl.org/	--
perl-file-chdir	https://github.com/dagolden/File-chdir	--
ig-flowtools	https://github.com/ImmPortDB/ig-flowtools	--
perl-data-walk	http://metacpan.org/pod/Data::Walk	--
swalign	http://github.com/mbreese/swalign/	--
perl-io-gzip	https://metacpan.org/pod/PerlIO::gzip	--
nanopore_simulation	https://github.com/crohrandt/nanopore_simulation	--
perl-test-mockmodule	https://github.com/geofffranks/test-mockmodule	--
dig2	http://www.ms-utils.org/dig2/dig2.html	--
pb-dazzler	https://github.com/PacificBiosciences/pbbioconda	--
perl-bignum	http://metacpan.org/pod/bignum	--
bohra	https://github.com/kristyhoran/bohra	--
perl-aceperl	http://metacpan.org/pod/AcePerl	--
perl-forks	http://search.cpan.org/~rybskej/forks/lib/forks.pm	--
pypore	http://parkin.github.io/pypore/	--
perl-moosex-types	https://github.com/moose/MooseX-Types	--
disty	https://github.com/c2-d2/disty	--
hicbrowser	https://github.com/maxplanck-ie/HiCBrowser	--
ucsc-newprog	http://hgdownload.cse.ucsc.edu/admin/exe/	--
xs-sim	https://github.com/pratas/xs	--
perl-json	http://metacpan.org/pod/JSON	--
perl-test-nowarnings	https://metacpan.org/pod/Test::NoWarnings	--
homer	http://homer.ucsd.edu/homer/index.html	--
query_phenomizer	https://www.github.com/moonso/query_phenomizer	--
ebisearch	https://github.com/bebatut/ebisearch	--
snvphyl-tools	https://github.com/phac-nml/snvphyl-tools	--
ucsc-hgfakeagp	http://hgdownload.cse.ucsc.edu/admin/exe/	--
novobreak	https://github.com/czc/nb_distribution	--
cistrome_beta	https://github.com/hanfeisun/BETA	--
fastq-scan	https://github.com/rpetit3/fastq-scan	--
deeplift	https://github.com/kundajelab/deeplift	--
fgwas	https://github.com/joepickrell/fgwas	--
transcov	https://github.com/hogfeldt/transcov	--
dimspy	https://github.com/computational-metabolomics/dimspy	--
perl-class-methodmaker	http://search.cpan.org/~schwigon/Class-MethodMaker-2.24/	--
famseq	http://bioinformatics.mdanderson.org/main/FamSeq	--
biobb_model	https://github.com/bioexcel/biobb_model	--
gneiss	https://biocore.github.io/gneiss/	--
r-sceasy	https://github.com/cellgeni/sceasy	--
perl-data-lock	http://metacpan.org/pod/Data::Lock	--
treesapp	https://github.com/hallamlab/TreeSAPP	--
checkv	https://bitbucket.org/berkeleylab/checkv	--
ucsc-cell-browser	https://github.com/maximilianh/cellBrowser	--
ucsc-genepredtobed	http://hgdownload.cse.ucsc.edu/admin/exe/	--
parallel-fastq-dump	https://github.com/rvalieris/parallel-fastq-dump	--
biobb_md	https://github.com/bioexcel/biobb_md	--
instrain	https://github.com/MrOlm/inStrain	--
checkm-genome	https://github.com/Ecogenomics/CheckM	--
arriba	https://github.com/suhrig/arriba	--
phylophlan	https://github.com/biobakery/phylophlan	--
nmrml2isa	http://github.com/ISA-tools/nmrml2isa	--
ucsc-fatotwobit	http://hgdownload.cse.ucsc.edu/admin/exe/	--
gaas	https://github.com/NBISweden/GAAS	--
nanopolishcomp	https://github.com/a-slide/NanopolishComp	--
iced	https://github.com/hiclib/iced	--
r-monocle3	https://cole-trapnell-lab.github.io/monocle3/	--
crisprbact	https://gitlab.pasteur.fr/dbikard/crisprbact	--
pgcgap	https://github.com/liaochenlanruo/pgcgap/blob/master/README.md	--
fastq-count	https://github.com/sndrtj/fastq-count	--
selene-sdk	https://github.com/FunctionLab/selene	--
pygtftk	http://github.com/dputhier/pygtftk	--
pangolin	https://github.com/hCoV-2019/pangolin	--
hap.py	https://github.com/Illumina/hap.py	--
fsnviz	https://github.com/bow/fsnviz	--
rdptools	http://rdp.cme.msu.edu/misc/resources.jsp	--
wub	https://github.com/nanoporetech/wub	--
ont-fast5-api	https://github.com/nanoporetech/ont_fast5_api	--
augur	https://github.com/nextstrain/augur	--
tetranscripts	https://github.com/mhammell-laboratory/TEtranscripts	--
openduck	https://github.com/galaxycomputationalchemistry/duck	--
t_coffee	https://github.com/cbcrg/tcoffee	--
r-basejump	https://github.com/acidgenomics/basejump/	--
scmap-cli	https://github.com/ebi-gene-expression-group/scmap-cli	--
caper	https://github.com/ENCODE-DCC/caper	--
sarscov2summary	https://github.com/nickeener/sarscov2formatter	--
repeatmodeler	https://github.com/Dfam-consortium/TETools	--
mpa-portable	https://github.com/compomics/meta-proteome-analyzer	--
sevenbridges-python	https://github.com/sbg/sevenbridges-python	--
sarscov2formatter	https://github.com/nickeener/sarscov2formatter	--
svtools	https://github.com/hall-lab/svtools	--
msstitch	https://github.com/lehtiolab/msstitch	--
mapdamage2	https://github.com/ginolhac/mapDamage	--
dxpy	https://github.com/dnanexus/dx-toolkit	--
python-msgpack	https://github.com/msgpack/msgpack-python	--
biolib	http://pypi.python.org/pypi/biolib/	--
biobb_analysis	https://github.com/bioexcel/biobb_analysis	--
sanitizeme	https://github.com/jiangweiyao/SanitizeMe	--
rust-bio-tools	https://github.com/rust-bio/rust-bio-tools	--
orthofinder	https://github.com/davidemms/OrthoFinder	--
portcullis	https://github.com/maplesond/portcullis	--
svim	https://github.com/eldariont/svim	--
treeswift	https://github.com/niemasd/TreeSwift	--
r-acidbase	https://acidbase.acidgenomics.com/	--
r-pipette	https://github.com/acidgenomics/pipette/	--
r-sgtr	https://github.com/SexGenomicsToolkit/sgtr	--
gromacs_py	https://github.com/samuelmurail/gromacs_py	--
bioconductor-gviz	http://bioconductor.org/packages/release/bioc/html/Gviz.html	--
toil	https://github.com/BD2KGenomics/toil	--
arvados-python-client	https://github.com/curoverse/arvados/tree/master/sdk/python	--
svdb	https://github.com/J35P312/SVDB	--
r-sigtree	https://CRAN.R-project.org/package=SigTree	--
scvi	https://github.com/YosefLab/scVI	--
metabat2	https://bitbucket.org/berkeleylab/metabat	--
sccaf	https://github.com/SCCAF/sccaf	--
ppanggolin	https://github.com/labgem/PPanGGOLiN	--
iucn_sim	https://github.com/tobiashofmann88/iucn_extinction_simulator	--
probabilistic2020	https://github.com/KarchinLab/probabilistic2020	--
ncbi-genome-download	https://github.com/kblin/ncbi-genome-download/	--
perl-xml-sax-expat	http://metacpan.org/pod/XML-SAX-Expat	--
ucsc-blat	http://hgdownload.cse.ucsc.edu/admin/exe/	--
fastq-join	https://github.com/brwnj/fastq-join	--
perl-heap-simple-perl	http://metacpan.org/pod/Heap::Simple::Perl	--
ivar	https://andersen-lab.github.io/ivar/html/	--
ncbi-amrfinderplus	https://github.com/ncbi/amr/wiki	--
garnett-cli	https://github.com/ebi-gene-expression-group/garnett-cli	--
panaroo	https://github.com/gtonkinhill/panaroo	--
lastz	http://www.bx.psu.edu/~rsharris/lastz/	--
perl-file-which	https://metacpan.org/pod/File::Which	--
sure	http://github.com/gabrielfalcao/sure	--
ucsc-hubcheck	http://hgdownload.cse.ucsc.edu/admin/exe/	--
unitig-caller	https://github.com/johnlees/unitig-caller	--
biasaway	https://bitbucket.org/CBGR/biasaway	--
mtsv-tools	https://github.com/FofanovLab/mtsv_tools	--
igphyml	https://igphyml.readthedocs.io/en/latest/index.html	--
influx_si	https://github.com/sgsokol/influx	--
seqfu	https://github.com/quadram-institute-bioscience/seqfu	--
clipcontext	https://github.com/BackofenLab/CLIPcontext	--
easypqp	https://github.com/grosenberger/easypqp	--
hiline	https://github.com/wtsi-hpag/HiLine	--
samsum	https://github.com/hallamlab/samsum	--
sdrf-pipelines	https://github.com/bigbio/sdrf-pipelines	--
dlcpar	https://github.com/davidemms/OrthoFinder	--
lsc	https://www.healthcare.uiowa.edu/labs/au/LSC/	--
afterqc	https://github.com/OpenGene/AfterQC	--
hg-color	https://github.com/pierre-morisse/HG-CoLoR	--
deepvariant	https://github.com/google/deepvariant	--
qcat	https://github.com/nanoporetech/qcat	--
seurat-scripts	https://github.com/ebi-gene-expression-group/r-seurat-scripts	--
ezclermont	https://github.com/nickp60/ezclermont	--
perl-fastx-reader	https://metacpan.org/release/FASTX-Reader	--
monocle3-cli	https://github.com/ebi-gene-expression-group/monocle-scripts	--
recentrifuge	https://github.com/khyox/recentrifuge	--
mpa-server	https://github.com/compomics/meta-proteome-analyzer	--
optitype	https://github.com/FRED-2/OptiType	--
anvio	http://merenlab.org/software/anvio/index.html	--
gprofiler-official	http://biit.cs.ut.ee/gprofiler	--
dinopy	https://bitbucket.org/HenningTimm/dinopy	--
nanoget	https://github.com/wdecoster/nanoget	--
dsh-bio	https://github.com/heuermh/dishevelled-bio	--
bioconductor-mouse430a2cdf	https://bioconductor.org/packages/release/data/experiment/html/mouse430a2cdf.html	--
bioconductor-hapmap370k	https://bioconductor.org/packages/release/data/experiment/html/hapmap370k.html	--
pomoxis	https://github.com/nanoporetech/pomoxis	--
python-goenrichment	https://pypi.org/project/goenrichment/	--
r-bcbiosinglecell	https://bioinformatics.sph.harvard.edu/bcbioSingleCell/	--
pgx-variant-tools	https://github.com/LUMC/pgx-variant-tools	--
megalodon	https://github.com/nanoporetech/megalodon	--
ucsc-bigwigsummary	http://hgdownload.cse.ucsc.edu/admin/exe/	--
bitstring	https://github.com/scott-griffiths/bitstring	--
ucsc-qacagplift	http://hgdownload.cse.ucsc.edu/admin/exe/	--
pandaseq	https://github.com/neufeld/pandaseq	--
ucsc-paranodestop	http://hgdownload.cse.ucsc.edu/admin/exe/	--
pbmm2	https://github.com/PacificBiosciences/pbmm2	--
pb-assembly	https://github.com/PacificBiosciences/pbbioconda	--
pychopper	https://github.com/nanoporetech/pychopper	--
thapbi-pict	https://github.com/peterjc/thapbi-pict	--
taxopy	https://github.com/apcamargo/taxopy	--
mpra-data-access-portal	https://github.com/kircherlab/MPRA_SaturationMutagenesis	--
perl-mce	https://github.com/marioroy/mce-perl	--
solvebio	https://github.com/solvebio/solvebio-python	--
cdna_cupcake	https://github.com/Magdoll/cDNA_Cupcake	--
ncbi-vdb	https://github.com/ncbi/ncbi-vdb	--
perl-bio-tools-run-alignment-clustalw	https://metacpan.org/release/Bio-Tools-Run-Alignment-Clustalw	--
hmftools-purple	https://github.com/hartwigmedical/hmftools/tree/master/purity-ploidy-estimator	--
gatk4-spark	https://github.com/broadinstitute/gatk	--
r-deseqanalysis	https://github.com/acidgenomics/DESeqAnalysis/	--
pyomero-upload	http://www.synthsys.ed.ac.uk/	--
r-prestor	https://bitbucket.org/javh/prototype-prestor	--
negative_training_sampler	https://github.com/kircherlab/negative_training_sampler	--
bttcmp	https://github.com/liaochenlanruo/BTTCMP/blob/master/README.md	--
deepaclive	https://gitlab.com/dacs-hpi/deepac-live	--
galru	https://github.com/quadram-institute-bioscience/galru	--
stark	https://github.com/hnikaein/stark	--
viennarna	https://github.com/ViennaRNA	--
ucsc-bedtobigbed	http://hgdownload.cse.ucsc.edu/admin/exe/	--
mageck-vispr	https://bitbucket.org/liulab/mageck-vispr	--
hclust2	https://github.com/SegataLab/hclust2	--
hts-nim-tools	https://github.com/brentp/hts-nim-tools	--
hic2cool	https://github.com/4dn-dcic/hic2cool	--
r-jackstraw	https://CRAN.R-project.org/package=jackstraw	--
slivar	https://github.com/brentp/slivar	--
r-bisquerna	https://www.biorxiv.org/content/10.1101/669911v1	--
n50	https://metacpan.org/release/Proch-N50	--
motifraptor	https://github.com/pinellolab/MotifRaptor	--
radsex	https://sexgenomicstoolkit.github.io/html/radsex/introduction.html	--
requests	https://github.com/psf/requests	--
peaksql	https://github.com/vanheeringen-lab/peaksql	--
pmmrcalculator	https://github.com/TCLamnidis/pMMRCalculator	--
unfazed	https://github.com/jbelyeu/unfazed	--
r-mkmisc	http://www.stamats.de/	--
arvados-cwl-runner	https://github.com/curoverse/arvados/tree/master/sdk/cwl	--
ucsc-gff3togenepred	http://hgdownload.cse.ucsc.edu/admin/exe/	--
prophyle	https://github.com/karel-brinda/prophyle	--
nanofilt	https://github.com/wdecoster/nanofilt	--
samclip	https://github.com/tseemann/samclip	--
bcalm	https://github.com/GATB/bcalm	--
r-stitch	https://github.com/rwdavies/stitch	--
ataqv	https://parkerlab.github.io/ataqv/	--
varfish-annotator-cli	https://github.com/bihealth/varfish-annotator	--
biobb_structure_checking	https://github.com/bioexcel/biobb_analysis	--
biobb_chemistry	https://github.com/bioexcel/biobb_chemistry	--
r-acidplots	https://acidplots.acidgenomics.com/	--
biobb_structure_utils	https://github.com/bioexcel/biobb_structure_utils	--
ntjoin	http://www.bcgsc.ca/platform/bioinfo/software/ntjoin	--
