ambertools	96729	Carbohydrates,Computer Simulation,Models, Biological,Models, Chemical,Models, Molecular,Nucleic Acids,Proteins,Thermodynamics,Molecular modelling,Molecular dynamics,Molecular Dynamics
amide	7946	medicine,imaging,program
amos	29833	Chromosome Mapping,Consensus Sequence,DNA Mutational Analysis,Genetic Variation,Genome, Bacterial,Sequence Alignment,Sequence Analysis, DNA,Sequence Homology, Nucleic Acid,Streptococcus agalactiae,Genomics,Sequence assembly,Metagenome
ampliconnoise	7850	program
amptk	268359	
amused	7402	
ananse	2622	Transcription Factors
anarci	4280	Antibodies,Computational Biology,Humans,Immunoglobulin Variable Region,Models, Molecular,Receptors, Antigen, T-Cell,Proteomics,Protein structure analysis
ancestry_hmm-s	743	Genetics,Genomics
anchore-cli	817	
andi	43588	Animals,Biological Evolution,Databases, Genetic,Genome,Genomics,Humans,Phylogeny,Sequence Alignment,Sequence Analysis, DNA,Phylogenetics
anfo	7872	
angsd	63134	Gene Frequency,Genetics, Population,Genotype,High-Throughput Nucleotide Sequencing,Likelihood Functions,Polymorphism, Single Nucleotide,Population genetics,Statistics and probability
anise_basil	24617	High-Throughput Nucleotide Sequencing,Humans,Sequence Alignment,Sequence Analysis, DNA,Computational Biology
aniso8601	365281	
anndata	90954	Transcriptomics
anndata2ri	4501	
ansible	6380	
ant	10535	
antarna	2551	Animals,Ants,Base Composition,Base Sequence,Databases, Genetic,Sequence Analysis, RNA,Sequence analysis
antismash	75992	Anti-Bacterial Agents,Biological Products,Biosynthetic Pathways,Codon,Genes,Internet,Peptide Synthases,Peptides,Polyketide Synthases,Protein Domains,Protein Processing, Post-Translational,Secondary Metabolism,Terpenes,Molecular interactions, pathways and networks,Gene and protein families
anvio	617662	Genomics,Metagenomics,Transcriptomics,Genetics,Metagenome,Protein Structure
anvio-minimal	112835	Genomics,Metagenomics,Transcriptomics,Genetics
any2fasta	10292	
aodp	189	High-Throughput Nucleotide Sequencing,Metagenomics,Oligonucleotides,Sequence Analysis, DNA
apoc	12563	Bacteria,Bacterial Proteins,Binding Sites,GTP Phosphohydrolases,Ligands,Models, Molecular,Models, Statistical,Protein Conformation,Proteins
apollo	13450	Animals,Database Management Systems,Databases, Nucleic Acid,Humans,Software Design,User-Computer Interface,Data submission, annotation and curation,Gene transcripts,Genomics,Mapping,Molecular interactions, pathways and networks
appspam	1104	
apt-probeset-summarize	4943	
aquila	731	Genomics
aquila_stlfr	4352	Genomics
aquila_umap	1535	
aragorn	86113	biology,bioinformatics,c,commandline,program,utility,analysing,searching,plaintext,biological-sequence
arb-bio	53493	Data Display,Databases, Genetic,Internet,Phylogeny,Sequence Alignment,Sequence Analysis, DNA,Sequence Analysis, Protein,Sequence Analysis, RNA,Time Factors,Sequence analysis
arb-bio-devel	27176	Data Display,Databases, Genetic,Internet,Phylogeny,Sequence Alignment,Sequence Analysis, DNA,Sequence Analysis, Protein,Sequence Analysis, RNA,Time Factors
arb-bio-tools	291216	Data Display,Databases, Genetic,Internet,Phylogeny,Sequence Alignment,Sequence Analysis, DNA,Sequence Analysis, Protein,Sequence Analysis, RNA,Time Factors
arboreto	1294	Molecular interactions, pathways and networks,RNA-Seq,Gene expression,Clustering,Gene Expression,Transcription Factors,Transcriptomics
arcas-hla	466	RNA-Seq,Transcriptomics
arcs	3702	Genomics
arden	7873	
arem	8381	Animals,Base Sequence,Cell Cycle Proteins,Chromatin Immunoprecipitation,Computer Simulation,DNA-Binding Proteins,High-Throughput Nucleotide Sequencing,Likelihood Functions,Mice,Models, Genetic,Nuclear Proteins,Phosphoproteins,Protein Binding,Sequence Alignment,Sequence Analysis, DNA,Sterol Regulatory Element Binding Protein 1,ChIP-seq,Transcription Factors
argh	441154	
argparse2tool	599	
argutils	24091	
aria2	26774	
ariba	618816	nucleic-acids,biology,bioinformatics,python,commandline,program,application,analysing,Animals,Drug Resistance, Microbial,Enterococcus faecium,Genomics,Humans,Infections,Neisseria gonorrhoeae,Shigella sonnei
array-as-vcf	352	
arriba	39696	RNA-Seq,Transcriptomics
arrow	917133	
art	50779	Chromosomes, Human, Pair 17,Genetic Variation,High-Throughput Nucleotide Sequencing,Humans,Sequence Analysis, DNA,Bioinformatics,Gene Expression,Genetics,Transcriptomics,Genomics
art-nextgen-simulation-tools	7852	Gene Expression,Genetics,Transcriptomics,Genomics
art-nextgen-simulation-tools-profiles	7838	Gene Expression,Genetics,Transcriptomics,Genomics
artemis	29315	biology,bioinformatics,java,commandline,graphical,x11,program,utility,analysing,comparing,editing,biological-sequence,application,Genome,High-Throughput Nucleotide Sequencing,Molecular Sequence Annotation,Transcriptome,Data visualisation,Genomics,Genetics,Transcriptomics
artfastqgenerator	7871	Sequence Alignment
artic	4423	Genomics
artic-porechop	17423	
artic-tools	17079	Genomics
arvados-cli	2469	Genomics
arvados-cwl-runner	987550	
arvados-python-client	1523195	
ascat	24828	Alleles,Breast Neoplasms,Carcinoma,Female,Gene Dosage,Genes, Neoplasm,Genome, Human,Humans,Ploidies,Oncology,Genomics,Human genetics
asciigenome	129765	Genome,Genomics,Sequence Analysis, DNA
askocli	255705	
asn2gb	9327	Protein Sequences
asqcan	10674	
assemblerflow	35883	Genomics
assembly-scan	9058	
assembly-stats	19458	Genomics
assemblytics	9350	Genetic Variation,Genome,Genomics,Humans
assemblyutility	10557	
astalavista	16651	African Continental Ancestry Group,Alternative Splicing,Cell Line,European Continental Ancestry Group,Gene Expression Profiling,Gene Expression Regulation,Genetic Variation,Humans,Computational Biology,Nucleic acid structure analysis,Genomics
astropy	1303539	
atac	17516	Computational Biology,Contig Mapping,Genome, Human,Human Genome Project,Humans,RNA, Messenger,DNA,Sequence analysis,Mapping
atactk	52634	Genomics,Functional genomics,Genetics,Genetic variation,Transcriptomics
ataqv	89397	
athena_meta	6784	Metagenome
atlas-data-import	2561	
atlas-metadata-validator	3442	
atropos	720103	Genomics,RNA-Seq,Transcriptomics
augur	43108	
augustus	774313	biology,bioinformatics,c++,commandline,program,calculation,utility,ncurses,analysing,biological-sequence,Animals,Computational Biology,Databases, Genetic,Evolution, Molecular,Genome,Molecular Sequence Annotation,Sequence Analysis, RNA,User-Computer Interface,Vertebrates,Gene transcripts,Gene and protein families,Genomics
augustus-data	7861	biology,bioinformatics,app-data,program,analysing,Alternative Splicing,Animals,DNA, Complementary,Expressed Sequence Tags,Humans,Sequence Alignment
autoclassweb	692	genomics proteomics omics,genomics,proteomics,omics,Clustering
autodock	7867	biology,structural,c,commandline,program,utility,analysing,todo,3dmodel,Ligands,Models, Molecular,Protein Binding,Proteins,Molecular modelling,Small molecules,Protein structural motifs and surfaces,Protein interactions
autodock-getdata	7861	Ligands,Models, Molecular,Protein Binding,Proteins
autodock-test	7879	biology,structural,todo,dictionary,app-data,checking,Ligands,Models, Molecular,Protein Binding,Proteins
autodock-vina	70471	Ligands,Models, Molecular,Protein Binding,Proteins
autogrid	7858	biology,structural,c++,commandline,program,utility,analysing,todo,3dmodel,Ligands,Models, Molecular,Protein Binding,Proteins
autogrid-test	7850	biology,structural,todo,dictionary,app-data,checking,Ligands,Models, Molecular,Protein Binding,Proteins
autolog	13437	
avro	21896	
avro-cwl	46236	
avro-python2	99944	
avro-python3	383679	
awscli	30185	
axe-demultiplexer	7879	
axiome	8510	Microbial ecology,Ecology
backports.csv	11603	
backports.unittest_mock	32131	
backspinpy	14689	Animals,CA1 Region, Hippocampal,Eye Proteins,Gene Expression,Genetic Markers,Homeodomain Proteins,Inositol 1,4,5-Trisphosphate Receptors,Interneurons,Mice,Oligodendroglia,PAX6 Transcription Factor,Paired Box Transcription Factors,Phylogeny,Repressor Proteins,Sequence Analysis, RNA,Single-Cell Analysis,Somatosensory Cortex,Transcription Factors,Transcriptome,Clustering,RNA-Seq,Transcriptomics
bacphlip	634	
bactopia	14827	
badread	653	
baitfisher	16803	DNA,DNA Probes,Gene Library,Genome,High-Throughput Nucleotide Sequencing,Nucleic Acid Amplification Techniques,Phylogeny,Polymerase Chain Reaction,Sequence Analysis, DNA,Sequence Alignment,Genomics
bakta	730	Genomics,Protein Sequences
bali-phy	7835	Bayes Theorem,Markov Chains,Models, Genetic,Models, Statistical,Mutation,Phylogeny,Selection, Genetic,Phylogenetics,Sequence analysis,Sequence Alignment
ball	7830	qt,Protein Structure
ballview	7866	graphical,x11,program,qt,application,Protein Structure
balrog	207	Protein Sequences
bam-readcount	482043	
bam2fasta	24321	
bam2fastx	105383	
bamaddrg	219	
bambamc	16210	
bamclipper	4956	Base Sequence,Computer Simulation,DNA Primers,Gene Frequency,High-Throughput Nucleotide Sequencing,Humans,Mutation
bamhash	43865	Humans,Reproducibility of Results,Sequence Analysis,Statistics as Topic,Data quality management,DNA,Data management,Genetics,Genomics
bamkit	5	
bamm	35750	Animals,Bayes Theorem,Databases, Nucleic Acid,Humans,Internet,Markov Chains,Mice,Nucleotide Motifs,Rats,Regulatory Sequences, Nucleic Acid,Sequence Analysis,Transcription Factors,Sequence sites, features and motifs,ChIP-seq,Genomics,Metagenomics
bamread	35180	
bamscale	5929	RNA-Seq,Genetics,Transcriptomics,Genomics
bamtools	581623	c++,program,Genomics,Sequence Alignment,Sequence Analysis, DNA,Sequencing,Data management,Sequence analysis
bamutil	75216	Computational Biology,Databases, Genetic,Exome,Genetics, Population,Genome, Human,Haplotypes,High-Throughput Nucleotide Sequencing,Humans,Polymorphism, Single Nucleotide,Sequence Alignment,Sequence Analysis, DNA,Data management
bandage	23407	qt,Chromosome Mapping,Computational Biology,Computer Graphics,Genome, Bacterial,Genome, Human,Genomics,Humans,Sequence Analysis, DNA,Sequence assembly
banner	1059	
barcode_splitter	1818	Genomics
barriers	16183	
barrnap	200746	biology,bioinformatics,perl,commandline,program,searching,biological-sequence,Genomics,Model organisms
barrnap-python	16738	
bart	7862	Animals,Databases, Genetic,Epigenomics,Gene Expression Regulation,Humans,Mice,Sequence Analysis, DNA,Transcription Factors,Transcription factors and regulatory sites,Sequence analysis,Gene Expression,Transcriptomics
bart-view	7840	gtk
basic	247917	Artifacts,Image Processing, Computer-Assisted,Microscopy,Time-Lapse Imaging,Biological imaging,Imaging,Biomarkers,RNA-Seq,Transcriptomics
batch_brb	639	Ortholog
batch_correction	233	Metabolomics,Batch correction,Mass spectrometry
batchcorrection	22	Mass spectrometry,Metabolomics
batman	107	Base Sequence,Bayes Theorem,Chromatin Immunoprecipitation,Chromosome Mapping,DNA,DNA Methylation,Molecular Sequence Data,Pattern Recognition, Automated,Sequence Analysis, DNA,Epigenetics,Metabolomics
bats	6838	Sequence analysis,DNA
batvi	8630	
bax2bam	35467	
bayesase	25	
bayescan	10146	Adaptation, Physiological,Altitude,Amplified Fragment Length Polymorphism Analysis,Animals,Arvicolinae,Bayes Theorem,Genetic Markers,Genetics, Population,Genome,Polymorphism, Single Nucleotide,Selection, Genetic,Genetics,Evolutionary biology,Statistics and probability,DNA polymorphism,Genomics
bayestyper	1583	Genetic Variation,Genome, Human,Genotype,High-Throughput Nucleotide Sequencing,Humans,Sequence Analysis, DNA,Sequence assembly,Whole genome sequencing,DNA polymorphism,Genetics,Genomics
bazam	2929	High-Throughput Nucleotide Sequencing,Sequence Alignment
bbknn	83621	Statistics and probability,Transcriptomics,Clustering,Transcriptome
bbmap	5351062	High-Throughput Nucleotide Sequencing,Computational Biology,Sequencing,RNA splicing,Whole genome sequencing,Phylogenetics,Metagenomics,RNA-seq,RNA-Seq,Sequence Alignment,Metagenome,Transcriptomics,Genomics
bcalm	62979	Humans,Programming Languages,Sequence Analysis, DNA
bcbio	15689	RNA-Seq,Genetics,Transcriptome,Transcriptomics,Genomics
bcbio-gff	24368	
bcbio-nextgen	21184172	Breast Neoplasms,Cluster Analysis,Databases, Factual,Exome,Female,Genomics,High-Throughput Nucleotide Sequencing,Humans,Reproducibility of Results,Sequence Analysis, RNA,Workflows,RNA-Seq,Genetics,Transcriptome,Transcriptomics
bcbio-nextgen-vm	11635045	
bcbio-prioritize	34459	
bcbio-rnaseq	49710	RNA-Seq,Transcriptomics
bcbio-variation	40761	Genomics
bcbio-variation-recall	176926	
bcbio_monitor	16639	
bcbiogff	144149	Computational Biology,Databases, Factual,Internet,Programming Languages,Bioinformatics,Data management,Software engineering,Computational biology
bcbreport	49579	
bcdoc	86387	
bcftools	53665150	c,program,Base Sequence,Computational Biology,Genome,Genomics,Molecular Sequence Data,Sequence Alignment,Sequence Analysis, DNA,Genetic variation,DNA polymorphism,GWAS study,Genotyping experiment,Clustering
bcftools-gtc2vcf-plugin	2438	Sequence Alignment
bcftools-snvphyl-plugin	41019	Genomics
bcl2fastq-nextseq	15855	
bcool	5959	
bcov	7617	DNA Mutational Analysis,Models, Statistical,Mutation,Protein Structure, Secondary,Proteins,Sequence Analysis, Protein,Machine learning,Structure prediction,Sequence Alignment
bctools	13828	
bd2k-python-lib	94733	Genomics
beads	7858	qt,Animals,Base Composition,Caenorhabditis elegans,Chromatin Immunoprecipitation,DNA, Helminth,High-Throughput Nucleotide Sequencing,Sequence Analysis, DNA,ChIP-seq
beagle	38427	biology,bioinformatics,java,commandline,program,analysing,Computational Biology,Genome, Human,Genome-Wide Association Study,Haplotypes,Humans,Population genetics,Clustering
beagle-lib	243543	Phylogenetics,Genetics,Genomics
beast	62623	Animals,Base Sequence,Bayes Theorem,DNA, Mitochondrial,Finches,Molecular Sequence Data,Phenotype,Phylogeny,User-Computer Interface,Computational Biology,Phylogenetics,Sequence analysis,Genetics,Genomics
beast-mcmc	7895	Genetics,Genomics
beast2	95252	Bayes Theorem,Biological Evolution,Programming Languages,Phylogenetics,Phylogenomics,Genetics,Genomics
beast2-mcmc	7868	Phylogenetics,Genetics,Genomics
bedops	602992	Data Compression,Genomics,Nucleic acids,Sequence sites, features and motifs
bedparse	766	
bedtools	8400811	genomics,Animals,Computational Biology,Genomics,Molecular Sequence Annotation
bedtools-test	7854	Genomics
behst	371275	
bel-resources	996	
bellmans-gapc	44977	
belvu	7819	gtk,Amino Acid Sequence,Biological Evolution,Calibration,Computational Biology,Computer Simulation,Evolution, Molecular,Likelihood Functions,Models, Statistical,Molecular Sequence Data,Monte Carlo Method,Pattern Recognition, Automated,Phylogeny,Sequence Analysis, Protein,Sequence Homology, Amino Acid,Proteins
berkeley-express	7804	nucleic-acids,biology,bioinformatics,c++,commandline,program,biological-sequence,RNA-Seq,Transcriptome,Transcriptomics
berokka	24327	Genomics
besst	52426	Gene Library,Genomics,High-Throughput Nucleotide Sequencing,Humans,Reproducibility of Results,Sequence Analysis, DNA,Contig Mapping,Likelihood Functions,Models, Genetic,Probability,Regression Analysis,Sequence assembly
bfc	25996	Computational Biology,False Positive Reactions,Genome, Human,High-Throughput Nucleotide Sequencing,Humans,Reproducibility of Results,Sequence Analysis, DNA,DNA,Whole genome sequencing,Sequencing,Genomics
bftools	1046	Biology
bgreat	6482	Contig Mapping,Escherichia coli,Genome, Human,Genomics,High-Throughput Nucleotide Sequencing,Humans,Sequence Analysis, DNA
bgt	13958	Databases, Factual,Datasets as Topic,Genetic Variation,Genome, Human,Genotype,Haplotypes,Humans,Whole genome sequencing,Genomics,Sample collections
biasaway	6971	
bibliospec	4904	Database Management Systems,Databases, Protein,Information Storage and Retrieval,Mass Spectrometry,Peptide Library,Peptide Mapping,Proteins,Sequence Analysis, Protein,User-Computer Interface,Small molecules,DNA polymorphism
bicseq2-norm	4060	Base Composition,Bayes Theorem,Carrier Proteins,Chromatin Assembly and Disassembly,Colorectal Neoplasms,DNA Copy Number Variations,DNA-Binding Proteins,Genome, Human,Humans,Membrane Proteins,Neoplasm Proteins,Nucleoplasmins,Receptor, ErbB-2,Sequence Analysis, DNA
bicseq2-seg	4110	Base Composition,Bayes Theorem,Carrier Proteins,Chromatin Assembly and Disassembly,Colorectal Neoplasms,DNA Copy Number Variations,DNA-Binding Proteins,Genome, Human,Humans,Membrane Proteins,Neoplasm Proteins,Nucleoplasmins,Receptor, ErbB-2,Sequence Analysis, DNA
bifrost	6003	
bigsi	720	Chromosome Mapping,Databases, Factual,Drug Resistance, Bacterial,Escherichia coli,Escherichia coli Proteins,False Positive Reactions,Genome, Bacterial,Genome, Viral,Genomics,Genotype,Membrane Proteins,Models, Statistical,Molecular Epidemiology,Mycobacterium,Phylogeny,Plasmids,Programming Languages,Salmonella,Sequence Analysis, DNA,Staphylococcus,Streptococcus,Transferases (Other Substituted Phosphate Groups),Computational Biology
bindash	1515	Computer Graphics,DNA, Bacterial,Databases, Genetic,Drug Resistance, Bacterial,Genetic Variation,Genome, Bacterial,Genome-Wide Association Study,Interspersed Repetitive Sequences,Models, Genetic,Mycobacterium tuberculosis,Phenotype,Pseudomonas aeruginosa,Sequence Analysis, DNA,Staphylococcus aureus,Metagenome,Genomics
binlorry	633	
binsanity	158942	Metagenomics,Clustering
bio-eagle	8113	biology,bioinformatics,c++,commandline,program,analysing
bio-rainbow	7824	Clustering,Sequence Alignment
bio-ting	1144	Clustering
bio-tradis	7849	DNA Transposable Elements,Gene Library,High-Throughput Nucleotide Sequencing,DNA,Sequencing,Mobile genetic elements,Genomics
bio_assembly_refinement	35635	
bio_hansel	516434	
bioawk	87073	
biobambam	206379	Sequencing
biobasehttptools	940	
biobb_adapters	808	
biobb_analysis	36659	Molecular Dynamics
biobb_chemistry	7874	Molecular Dynamics
biobb_common	23060	
biobb_io	18707	
biobb_md	14849	Molecular Dynamics
biobb_ml	3719	
biobb_model	18497	
biobb_pmx	7524	
biobb_structure_checking	8146	Molecular Dynamics
biobb_structure_manager	3600	
biobb_structure_utils	2081	
biobb_wf_mutations	988	Molecular Dynamics
bioblend	927995	Genomics
bioconda-utils	12535	
bioconda2biocontainer	3036	Proteomics,Genomics,RNA-Seq,Sequence Alignment,Transcriptomics
bioconductor-a4	2282	
bioconductor-a4base	41047	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Microarray experiment,Gene expression,Statistics and probability
bioconductor-a4classif	1706	
bioconductor-a4core	83900	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Microarray experiment,Data management
bioconductor-a4preproc	84627	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Microarray experiment,Ontology and terminology
bioconductor-a4reporting	40116	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Microarray experiment,Function analysis
bioconductor-abadata	47075	Gene Expression,Transcriptomics
bioconductor-abaenrichment	57061	Adult,Brain,Gene Expression,Humans,Gene expression,Neurobiology,Transcriptomics
bioconductor-abarray	2231	Gene Expression,Transcriptomics
bioconductor-abseqr	4136	
bioconductor-absseq	88111	Computational Biology,Computer Simulation,Gene Expression Profiling,Gene Expression Regulation,ROC Curve,Sequence Analysis, RNA,Transcriptome,RNA-seq,Gene expression,Statistics and probability,RNA-Seq,Transcriptomics
bioconductor-acde	125963	Gene expression,Genetics,Transcriptomics,Gene Expression,Genomics
bioconductor-ace	2556	Whole genome sequencing,Genomics
bioconductor-acgh	104332	Carcinoma, Squamous Cell,Computer Simulation,DNA,Data Interpretation, Statistical,Databases, Genetic,Gene Expression Regulation, Neoplastic,Gene Library,Genetic Techniques,Genome,Humans,Internet,Mouth Neoplasms,Nucleic Acid Hybridization,Sequence Analysis, DNA,Computational Biology,Microarray experiment,Genomics,DNA structural variation,Genetics
bioconductor-acme	105279	Animals,DNA,Data Interpretation, Statistical,Deoxyribonucleases,Humans,Oligonucleotide Array Sequence Analysis,Immunoprecipitation experiment,Microarray experiment,Sequence sites, features and motifs
bioconductor-adacgh2	9956	
bioconductor-adam	9927	
bioconductor-adamgui	1607	Gene Expression,Transcriptomics
bioconductor-adaptest	1636	Genetics,Genomics
bioconductor-adductdata	1622	
bioconductor-adductomicsr	1658	Proteomics,Peptides,Mass spectra,Metabolomics
bioconductor-adimpute	405	RNA-Seq,Transcriptomics
bioconductor-adme16cod.db	2281	
bioconductor-adsplit	100688	Clustering,Gene Expression,Transcriptomics
bioconductor-affixcan	2346	
bioconductor-affxparser	171447	
bioconductor-affy	346005	Gene expression,Data mining,Data visualisation
bioconductor-affycomp	88882	Benchmarking,Computer Graphics,Gene Expression Profiling,Information Storage and Retrieval,Oligonucleotide Array Sequence Analysis,Reference Standards,Reproducibility of Results,Sensitivity and Specificity,Sequence Analysis, DNA,United States,User-Computer Interface,Microarray experiment,Gene expression
bioconductor-affycompatible	59765	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Database management,Microarray experiment
bioconductor-affycompdata	2232	
bioconductor-affycontam	46110	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Data architecture, analysis and design,Microarray experiment
bioconductor-affycoretools	26662	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Microarray experiment,Statistics and probability
bioconductor-affydata	151770	
bioconductor-affyexpress	72462	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Gene expression,Data mining,Gene Expression,Transcriptomics
bioconductor-affyhgu133a2expr	4033	Gene Expression,Transcriptomics
bioconductor-affyhgu133aexpr	3447	Gene Expression,Transcriptomics
bioconductor-affyhgu133plus2expr	3917	Gene Expression,Transcriptomics
bioconductor-affyilm	45455	Gene expression,Microarray experiment,Data quality management,Gene Expression,Transcriptomics
bioconductor-affyio	397233	Gene Expression Profiling,Genomics,High-Throughput Screening Assays,Programming Languages,User-Computer Interface,Computational Biology,Microarray experiment,Data management,Gene expression
bioconductor-affylmgui	2319	Gene Expression,Transcriptomics
bioconductor-affymetrixdatatestfiles	4107	
bioconductor-affymoe4302expr	3835	Gene Expression,Transcriptomics
bioconductor-affypara	2252	
bioconductor-affypdnn	53583	
bioconductor-affyplm	46797	Animals,Gene Expression Profiling,Humans,Oligonucleotide Array Sequence Analysis,Microarray experiment,Gene expression,Sequence analysis
bioconductor-affyqcreport	2134	
bioconductor-affyrnadegradation	46738	Gene Expression Profiling,Humans,Oligonucleotide Array Sequence Analysis,RNA Stability,RNA, Messenger,RNA,Microarray experiment,Data quality management
bioconductor-ag.db	3235	
bioconductor-agcdf	2325	
bioconductor-agdex	89862	Animals,Disease Models, Animal,Ependymoma,Gene Expression Profiling,Genomics,Humans,Meta-Analysis as Topic,Mice,Models, Statistical,Computational Biology,Gene expression,Genetics
